rank,avg_EventLatency,avg_ProcessingLatency,var_EventLatency,var_ProcessingLatency,TotalMessages,iteration,kafka,spark,killed
1,4.940145262365229,2.5175603276547043,0.954840638566812,1.2142459275444095,20000000,1,3,3,spark
2,3.3576626659762114,1.7043457052549347,0.49230177241760165,0.4684520648134245,20000000,1,3,3,spark
3,1.9889050692634331,1.2116064352163507,0.143029706722057,0.09344216534282858,20000000,1,3,3,spark
4,1.7288330466914272,1.1563774548305576,0.10734885535897226,0.08761739055780063,20000000,1,3,3,spark
5,1.8801970766031488,1.1302882931815825,0.145749442162833,0.08981536585261402,20000000,1,3,3,spark
6,1.6702523066431283,1.1104451014094054,0.1205029228889065,0.08442104160921385,20000000,1,3,3,spark
7,1.7852759203668684,1.176463187170215,0.1687733207527234,0.10732679750592951,20000000,1,3,3,spark
8,1.6710266109952816,1.093456006738396,0.14632894275650657,0.08310430220227123,20000000,1,3,3,spark
9,1.7441095177058425,1.1487928688344158,0.13189582822223778,0.10455780683467815,20000000,1,3,3,spark
10,1.7821385949078792,1.114147076587977,0.08714051445302379,0.09696619569384754,20000000,1,3,3,spark
11,1.7209822638684156,1.0881493704875587,0.10551102370627578,0.0768556447073136,20000000,1,3,3,spark
12,1.792056185062177,1.1004274493427804,0.13102249588864073,0.08121273444919784,20000000,1,3,3,spark
13,1.8007010912213084,1.0736537381625402,0.11102724782634582,0.08250454276193023,20000000,1,3,3,spark
14,1.6936255701977634,1.088068394333869,0.10431480089559042,0.08080919783979709,20000000,1,3,3,spark
15,1.6979211008881863,1.0859752980752373,0.1473860782260521,0.09060130558524543,20000000,1,3,3,spark
16,1.6884608017683411,1.0899459127256728,0.18264898680086394,0.08557006808753602,20000000,1,3,3,spark
17,1.7613491664235408,1.1124865852621886,0.13483036524037492,0.09122044025351128,20000000,1,3,3,spark
18,1.9480552343258375,1.284885050053838,0.24500452976509798,0.2084413996857273,20000000,1,3,3,spark
19,1.891093092762507,1.1918766936063767,0.15231125148109967,0.10652325802092731,20000000,1,3,3,spark
20,1.9481909866985274,1.1848453113301598,0.19049192519369168,0.10299807430312191,20000000,1,3,3,spark
21,1.7493102959657723,1.2123557810776664,0.10893588391712536,0.1081999329496291,20000000,1,3,3,spark
22,1.865505476902317,1.231629947877373,0.11503115262330652,0.12759948164468768,20000000,1,3,3,spark
23,1.8701262765976443,1.285012038602313,0.12047577889831666,0.13602662188646214,20000000,1,3,3,spark
24,1.845977136468124,1.216140590822775,0.16881262028892607,0.12209218836396693,20000000,1,3,3,spark
25,1.8232440454593863,1.180781182058706,0.18264963118430305,0.11301918490434831,20000000,1,3,3,spark
26,1.8043016365325129,1.252836129551084,0.13046116500449412,0.12454664813244,20000000,1,3,3,spark
27,1.8295621846572374,1.2893883596547815,0.14443505901329676,0.1533848336402486,20000000,1,3,3,spark
28,1.798299837759872,1.2298422156585191,0.1366952868674791,0.11128105779939249,20000000,1,3,3,spark
29,1.8447179182430633,1.2227885371833882,0.15148273319043354,0.11957068556668042,20000000,1,3,3,spark
30,1.8577053343969865,1.1775496749728718,0.1335507673852493,0.10281231022599685,20000000,1,3,3,spark
31,1.8113157071014458,1.2825586050240638,0.10656988770496229,0.13640398663379552,20000000,1,3,3,spark
32,1.7828384392643586,1.2163585872616542,0.15494386261108056,0.12922086780844436,20000000,1,3,3,spark
33,1.8273197715403382,1.1969740418089891,0.2308006517798664,0.12258319609045645,20000000,1,3,3,spark
34,1.897509682027412,1.2314784348370225,0.15108174322047618,0.1116097722137276,20000000,1,3,3,spark
35,1.84219864015946,1.2505085043577047,0.10672259810094066,0.13292520422957577,20000000,1,3,3,spark
36,1.879561941570119,1.2712029353342478,0.15252487410474258,0.12812578500007338,20000000,1,3,3,spark
37,1.897308165188936,1.2698383462364857,0.14582741062559956,0.1439894260958861,20000000,1,3,3,spark
38,1.7221517160809485,1.150729420074068,0.21854657362656416,0.10154128245268357,20000000,1,3,3,spark
39,1.8782959386479132,1.3099550825065653,0.13144406672635792,0.14256927205753364,20000000,1,3,3,spark
40,1.8045407993867992,1.2090879190238193,0.17543861691423046,0.11436311003055674,20000000,1,3,3,spark
41,1.8016382921147547,1.2006612938168357,0.13494177382355832,0.11253267606977861,20000000,1,3,3,spark
42,1.8172394125935114,1.1905881203778372,0.17659839690221082,0.09845954091511855,20000000,1,3,3,spark
43,1.97880480996707,1.201480456321294,0.16643762448820706,0.09781772387574347,20000000,1,3,3,spark
